,SAMPLE_ID,BORO,BFE_DAY,ROUTE,SPA_DIR,LVTIME,ARRTIME,MILEAGE,ORIGIN,DESTINATION,TRIP_TYPE,LAT_O,LONG_O,LAT_D,LONG_D,BEF_SRT_TIME,BEF_SRT_DEST_TIME,BEF_SPA_DIR,BEF_LAT_O,BEF_LONG_D,RET_SRT_TIME,RET_SRT_DEST_TIME,RET_SPA_DIR,DURATION,SWITCH
1102,50843,Q,WKD,Q23,SB,2330,15,6.125,DITMARS BL / 102 ST,UNION TPK / CRESCENT APARTMENTS,Local,40.76872,-73.86848,40.707108000000005,-73.85412600000001,2220.0,2305.0,NB,40.70705,-73.86853,,,,0.0,0
1103,50844,Q,WKD,Q39,EB,2245,2322,7.069,42 RD / HUNTER ST,60 LA / ST FELIX AV,Local,40.748787,-73.93956,40.696884000000004,-73.8945,2130.0,2205.0,WB,40.69699,-73.93960600000001,,,,0.0,0
1104,50845,Q,WKD,Q103,NB,2030,2052,3.478,VERNON BL / BORDEN AV,27 AV / 2 ST,Local,40.74147,-73.954666,40.77536,-73.93513,1930.0,1950.0,SB,40.775143,-73.95464,,,,0.0,0
1105,50846,Q,WKD,Q65,NB,837,944,9.064,SUTPHIN BL / 94 AV,14 AVE / 111 ST,Limited,40.69914,-73.80708,40.785725,-73.85625,715.0,816.0,SB,40.78532,-73.8071,,,,0.0,0
1106,50847,M,WKD,M4,SB,1404,1610,9.827,MARGARET CORBIN DR / CLOISTERS,MADISON AV / E 32 ST,Local,40.865547,-73.93216,40.74654,-73.98371999999999,1136.0,1333.0,NB,40.74655,-73.93205,,,,0.0,0
1107,50848,BX,WKD,BX31,SB,2250,2325,5.8389999999999995,VAN CORTLANDT PK E / E 242 ST,TREMONT AV / LANE AV,Local,40.902446999999995,-73.86820999999999,40.841076,-73.84285,2145.0,2221.0,NB,40.840862,-73.86813000000001,,,,0.0,0
1108,50849,BX,WKD,BX12,WB,2350,31,7.973,BAY PLAZA BL / APPLEBEE S,BROADWAY / W 207th ST,Local,40.866283,-73.82686,40.867836,-73.92057,2239.0,2314.0,EB,40.86376,-73.82672,,,,0.0,0
1109,50850,BX,WKD,BX15,NB,1810,1919,6.6579999999999995,ST CLAIRE PL / W 125 ST,3 AV / E FORDHAM RD,Limited,40.817062,-73.95978000000001,40.860991999999996,-73.89027,1631.0,1752.0,SB,40.860603000000005,-73.96016999999999,,,,0.0,0
1110,50851,B,WKD,B6,WB,2049,2203,10.842,LIVONIA AV / ASHFORD ST,HARWAY AV / BAY 37 ST,Limited,40.666385999999996,-73.88361,40.59295,-73.993385,1911.0,2029.0,EB,40.59347,-73.883385,,,,0.0,0
1111,50852,M,SUNDAY,M3,NB,2215,2329,10.49,4 AV / E 10 ST,FT GEORGE AV / 66 FT GEORGE AV,Local,40.731342,-73.99029,40.858093,-73.92554,2002.0,2121.0,SB,40.85833,-73.99131,,,,0.0,0
